Post Link,Title,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,Body,TagName
"42819","NLP ""small"" model to improve ""big"" model","2023-11-16 08:47:15","42860","2","89","<machine-learning><natural-language-processing><language-model>","<p>When training the model for NLP is it important to get rid of data which has &quot;bad semantic&quot; for learning process?</p>
<p>My plan is to create a &quot;small model&quot; which can decide whether data used for training the final model are &quot;good&quot; or &quot;bad&quot;.</p>
<p>For instance the small model will be made from &quot;good&quot; data example and &quot;bad&quot; data example.
Later on all data which are going to be used to train a final big data model will be fist evaluated by the smaller one in order to increase overall quality of the data used in the final model.</p>
","language-model"
"42544","How can Knowledge Graphs be Integrated with Language Models for Semantic Search?","2023-10-25 04:28:30","","0","46","<reference-request><gpt><language-model><knowledge-base><gpt-4>","<p>I am exploring the incorporate knowledge graphs (KGs) with language models.</p>
<p>I understand that KGs can provide structured understanding of entities and their relationships which can be crucial for semantic search tasks such as query understanding, and quesiton-answering.</p>
<p>I am particularly interested in practical implementations and would like to know:</p>
<p>What are the common practices for integrating KGs with language models like gpt-4?</p>
<p>I appreciate any insights or references that can guide me in implementing a KG-enhanced gpt-4.</p>
","language-model"
"42495","What is the lowest possible loss for a language model?","2023-10-19 15:29:13","","1","83","<loss><language-model><cross-entropy><n-gram>","<p>Example: Suppose a character-level language model (three input letters to predict the next one), trained on a dataset which contains three instances of the sequence <code>aei</code>, with two occurrences preceding <code>o</code> and one preceding <code>u</code>, i.e., the dataset is:</p>
<div class=""s-table-container"">
<table class=""s-table"">
<thead>
<tr>
<th style=""text-align: center;"">Input</th>
<th style=""text-align: center;"">Output</th>
</tr>
</thead>
<tbody>
<tr>
<td style=""text-align: center;"">aei</td>
<td style=""text-align: center;"">o</td>
</tr>
<tr>
<td style=""text-align: center;"">aei</td>
<td style=""text-align: center;"">u</td>
</tr>
<tr>
<td style=""text-align: center;"">aei</td>
<td style=""text-align: center;"">o</td>
</tr>
</tbody>
</table>
</div>
<p>In this case, the ideal probability distribution for the model's logits for <code>aei</code> would be <span class=""math-container"">$\sim 0.66$</span> for <code>o</code>, <span class=""math-container"">$\sim 0.33$</span> for <code>u</code>, and zero for other letters. In other words, when the model is input with <code>aei</code>, the ideal softmax of the logits would be <span class=""math-container"">$\sim 0.66$</span> for <code>o</code>, <span class=""math-container"">$\sim 0.33$</span> for <code>u</code>, and zero for other letters.</p>
<p>Following this reasoning, the objective is to optimize the model's output for a given input to match the distribution of occurrences in the dataset.</p>
<p>If this reasoning is correct, then we have the following ideal loss (cross-entropy):</p>
<p><span class=""math-container"">$$
L = \frac{- log\left(\frac{2}{3}\right) - log\left(\frac{1}{3}\right) - log\left(\frac{2}{3}\right)}{3} \approx 0.63
$$</span></p>
<p>Thus, <span class=""math-container"">$\sim 0.63$</span> is the smallest loss we can get with this dataset.</p>
<p>Is my reasoning correct?</p>
","language-model"
"42452","Setting number of rows returned by vector stores","2023-10-14 18:35:38","42453","0","147","<natural-language-processing><python><language-model>","<p>When using vector stores like pinecone or Faiss from langchain, is it possible to set the number of records returned based on similarity search?</p>
<p>For example, consider the following code, is there a parameter that can be set to control number of rows returned?</p>
<pre><code>FAISS.from_documents(mydata, embed_model)
</code></pre>
","language-model"
"42319","How do I balance context and history when creating prompts for LLM's?","2023-10-04 13:38:47","","3","151","<neural-networks><image-recognition><large-language-models><language-model><prompt-design>","<p>A conversation through the OpenAI API looks something like this</p>
<pre><code>    messages=[
        {&quot;role&quot;: &quot;system&quot;, &quot;content&quot;: &quot;You are a helpful assistant.&quot;},
        {&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: &quot;Who won the world series in 2020?&quot;},
        {&quot;role&quot;: &quot;assistant&quot;, &quot;content&quot;: &quot;The Los Angeles Dodgers won the World Series in 2020.&quot;},
        {&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: &quot;Where was it played?&quot;}
    ]
</code></pre>
<p>When I call a vector database I'm going to get back related content in the order of similarity to the question.</p>
<p>Let's say I get back 10 chunks at around 500 characters each.</p>
<p>Some frameworks (i.e. llama-index) set the context in the &quot;system&quot; role.</p>
<p>So that would look something like</p>
<pre><code>    messages=[
        {&quot;role&quot;: &quot;system&quot;, &quot;content&quot;: &quot;You are a helpful assistant. &quot;Context information is below.&quot;
    &quot;\n--------------------\n&quot;
    &quot;{context_str}&quot;
    &quot;\n--------------------\n&quot;},
        {&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: &quot;Who won the world series in 2020?&quot;},
        {&quot;role&quot;: &quot;assistant&quot;, &quot;content&quot;: &quot;The Los Angeles Dodgers won the World Series in 2020.&quot;},
        {&quot;role&quot;: &quot;user&quot;, &quot;content&quot;: &quot;Where was it played?&quot;}
    ]
</code></pre>
<p>Where <code>context_string</code> will be replaced by the chunks retrieved from the similarity search.</p>
<p>Now for the history, I can keep adding &quot;user&quot;, &quot;assistant&quot; role pair say up to a maximum of 10.</p>
<p>What's a good strategy for making sure I don't overflow the data limit I can send to the LLM?</p>
<p>For example I have GPT4All 7b with a limit of 2000 tokens and another model has a limit of 32K tokens.</p>
<p>How do I calculate how much to use?</p>
","language-model"
"42234","Data preparation for NLP model","2023-09-28 06:23:34","42335","1","55","<machine-learning><natural-language-processing><language-model>","<p>I have data from our ticketing system. Currently using OpenNLP to create different models.</p>
<p>For simplicity I have a <strong>10k ticket's text</strong> as category <strong>final queue</strong> of the ticket.</p>
<p>My questions:</p>
<ul>
<li>Is it important for the model to have data similarly distributed?
<ul>
<li>eg. for 3 category imagine that 6k items is for 1.cat, 3k is for 2.cat and the rest 1k for 3.cat.</li>
<li>Will this affect the final classification?</li>
</ul>
</li>
<li>Is it wise to remove a constants from the evaluated text?
eg. &quot;Good day&quot;, &quot;Best regards&quot; and others?
<ul>
<li>Should I already remove such constants from data set for training model or just remove it from text for classification?</li>
</ul>
</li>
</ul>
","language-model"
"42178","Seeking Advice on Local AI Model for Analyzing Personal Files","2023-09-23 04:43:18","","0","136","<models><language-model><filters>","<p>I'm embarking on a project to develop an application for personal use that can assist me in retrieving specific information from my files. I'd like to be able to ask questions like &quot;What was my income last year?&quot; and get accurate answers directly from my stored documents.
One of my primary concerns is privacy; I want to keep my data as secure as possible. Therefore, I am interested in utilizing a local AI model that doesn't rely on cloud-based services. As I am relatively new to the world of AI, I'm looking for suggestions on which models would be most suitable for my needs.
After some preliminary research, I've come across Langchain, which seems to fit my requirements well. However, I'm open to other suggestions too.
A potential complication is that my files are not in any specific format or structure; they range from PDFs and text files to PowerPoints and Excel spreadsheets. I can segregate them into separate folders if that would be helpful. My question is, would restructuring my files into a specific format improve the accuracy of the AI model giving me proper answer?
I'd appreciate any advice on the following:</p>
<ol>
<li>What AI model would be best suited for my project?</li>
<li>Is Langchain a good choice for this type of task?</li>
<li>Would reformatting my files increase the model's accuracy?</li>
</ol>
<p>My current hardware:</p>
<ul>
<li>RAM: DDR5 64GB</li>
<li>GPU : 3090</li>
<li>CPU: I9 11TH</li>
</ul>
<p>Thank you for your time and expertise!</p>
","language-model"
"42140","Why do current language models no longer generate to long or short texts?","2023-09-19 21:58:45","","3","165","<natural-language-processing><chatgpt><large-language-models><language-model><natural-language-generation>","<p>One of the biggest strengths of ChatGPT is that it generates fitting text with respect to the input query. It usually stays on topic, anwers the question completely and especially does not start talking gibberish or repeating itself.</p>
<p>This behaviour is different when comparing this to older LLMs. For example: GPT2 would usually only stop generating text when it hit the token limit or a predefined stop sequence. Also, it had a much bigger problem with giving repeating answers. Newer models (especially instruction tuned ones) do not suffer from this problems (e.g. llama 2).</p>
<p><strong>So I have 2 questions: What mechanisms/techniques are used in current language models such that...</strong></p>
<ol>
<li>...<strong>the models know when to stop generating text.</strong></li>
<li>...<strong>the models do not repeat themselfes and stay on topic.</strong></li>
</ol>
<p>I suspect it might have alot to do with instruction tuning but I am happy to hear from you.</p>
","language-model"
"41936","How to train a language model to write poem?","2023-08-31 07:32:47","","1","301","<chat-bots><language-model>","<p>I am using some of the LLM applications, and all of them are better at provide formal, steady conversations, rather than writing texts with styles. So I wonder whether it is possible to train a LLM better at writing poem, or other stylish texts in general.</p>
<p>Is this resulted from the dataset or the model structure, the loss function? If so, what should I do if I want to train a model that can write poem? Should I make a special dataset to train the Lora models, or try to design a new loss function?</p>
","language-model"
"41921","How can I improve this toy Graph Neural Network Generative Language model","2023-08-29 21:10:41","","3","133","<machine-learning><tensorflow><graph-neural-networks><language-model><natural-language-generation>","<h3>Background</h3>
<p>I'm an undergraduate student with research interests in a field of physics that has significant overlap with graph theory, and a functioning knowledge of how simple neural nets work and how to build them with TensorFlow and Keras. As many people are, I'm fascinated by the recent advancements in transformer-based language models, and I've spent the last several weeks reading up on them in an attempt to construct my own simple &quot;mini GPT&quot;. In doing so I encountered Graph Neural Networks, and decided I'd try instead to construct a generative language model out of these, inspired by the fact that graphs are (in a very hand-wavy sense) perhaps inherently more amenable to encoding relationships like &quot;attention&quot;, etc. I'm aware that the task I'm trying to accomplish could probably be much more easily achieved using alternative architectures. This is mostly just a fun &quot;what if&quot; project.</p>
<hr />
<h3>Code</h3>
<p>I still haven't quite wrapped my head around all the details of how and what a Graph Neural Net learns, nor what the different types of GNN layers do. Nevertheless, I've constructed a simple GNN using the <code>Spektral</code> library, which takes an input string, and predicts the rest of the string word-by-word by predicting the most probable next token. Here's what I have so far:</p>
<pre><code>import tensorflow as tf
from tensorflow.keras.layers import Input, Dense, Embedding
from tensorflow.keras.preprocessing.sequence import pad_sequences

from spektral.layers import GCNConv
from spektral.utils import normalized_adjacency

import numpy as np

import random
import os

def get_training_data(training_data_dir):
        filenames = []

        for filename in os.listdir(training_data_dir):
                filenames.append(os.path.join(training_data_dir, filename))

        random.shuffle(filenames)

        lines = []

        for filename in filenames:
                with open(filename, &quot;r&quot;) as file:
                        for line in file:
                                lines.append(line.strip())

        return lines

# Import data
training_corpus = get_training_data(&quot;./training_data&quot;)
tokens = [line.split() for line in training_corpus]
vocab = set(token for line in tokens for token in line)

vocab_size = len(vocab)

print(&quot;Vocabulary size: &quot;, vocab_size, &quot; words&quot;)

# Tokenize
word_to_idx = {word: idx for idx, word in enumerate(vocab)}
idx_to_word = {idx: word for word, idx in word_to_idx.items()}

# Pad and truncate sequences to a fixed length
train_data = [[word_to_idx[token] for token in line] for line in tokens]
train_data_padded = pad_sequences(train_data, maxlen=vocab_size, padding='pre', truncating='pre')

# Shift train_data_padded to create train_labels
train_labels = np.roll(train_data_padded, -1, axis=1)
train_labels[train_labels &gt;= vocab_size] = 0

train_data_padded = np.array(train_data_padded)
train_labels = np.array(train_labels)

# Construct token-to-token similarity matrix
similarity_matrix = np.zeros((vocab_size, vocab_size))

for sentence in tokens:
    for i, token1 in enumerate(sentence):
        for j, token2 in enumerate(sentence):
            if i != j:
                num_words_between = pow(abs(j - i), 2)
                similarity_matrix[word_to_idx[token1], word_to_idx[token2]] += num_words_between

adjacency_matrix = normalized_adjacency(similarity_matrix)


# Construct model
input_layer = Input(shape=(None,))
embedding = Embedding(input_dim=vocab_size, output_dim=vocab_size)(input_layer)
gcn_layer = GCNConv(vocab_size)([embedding, adjacency_matrix])

output_layer = Dense(vocab_size, activation='softmax')(gcn_layer)

model = tf.keras.Model(inputs=input_layer, outputs=output_layer)
model.compile(optimizer='adam', loss='categorical_crossentropy')

# Training loop
num_epochs = 100

model.fit(train_data_padded, tf.keras.utils.to_categorical(train_labels, num_classes=vocab_size), epochs=num_epochs)

padding_token = &quot;&lt;PAD&gt;&quot;

def respond_to_text(initial_string):
  initial_tokens = initial_string.split()

  for i in range(len(initial_tokens)):
    if initial_tokens[i] not in word_to_idx:
        initial_tokens[i] = &quot;&lt;PAD&gt;&quot;

  while len(initial_tokens) &lt; vocab_size:
      initial_tokens.insert(0, padding_token)

  generated_tokens = [word_to_idx[token] for token in initial_tokens]
  max_generation_length = 40

  # Number of tokens from the initial string that have been used
  initial_tokens_used = len(initial_tokens)

  for _ in range(max_generation_length):
      current_seq = np.array([generated_tokens[-vocab_size:]])  # Always use the last vocab_size tokens
      next_token_probs = model.predict(current_seq)[0][-1]
      next_token = np.random.choice(np.arange(vocab_size), p=next_token_probs)
      generated_tokens.append(next_token)

      # If there are more initial tokens to use, do that
      if initial_tokens_used &lt; len(initial_tokens):
          generated_tokens[-vocab_size:] = [word_to_idx[token] for token in initial_tokens[initial_tokens_used:]]
          initial_tokens_used = len(initial_tokens)

  # Generate text
  generated_text = [idx_to_word[idx] for idx in generated_tokens]

  # Remove trailing &quot;&lt;PAD&gt;&quot; tokens
  generated_text = [token for token in generated_text if token != padding_token]

  # Join the tokens into text
  generated_text = &quot; &quot;.join(generated_text)
  print(&quot;Generated Text:&quot;, generated_text)

while True:
  input_string = input()
  respond_to_text(input_string)
</code></pre>
<p>It's relatively simple, thus far. I train the network on strings of text from a subset of the WikiQA corpus, which I pre-process by removing all punctuation and capitalization. I define the elements of the adjacency matrix to be the squared distance between tokens (and 0 between a token and itself). I'm using <code>GCNConv()</code>, admittedly without knowing the intimate details of how it is different from other options provided by <code>Spektral</code>. Since the number of tokens in the input string must be identical to the vocabulary size, I pre-pend it with &quot;<code>&lt;PAD&gt;</code>&quot; tokens, and only pass in the last <code>vocab_size</code> tokens each time I generate a new token. I deal with unknown tokens by replacing them with &quot;<code>&lt;PAD&gt;</code>&quot;.</p>
<p>If I understand correctly, the GNN learns the &quot;strengths&quot; of connections between nodes (words), i.e. the edge weights and, as I imagine it, the adjacency matrix encodes a sort of very weak form of &quot;attention&quot;.</p>
<hr />
<h3>Question</h3>
<ol>
<li><strong>What and how, precisely, is this learning?</strong> I know that in a simple feed-forward neural network, a set of weights &quot;between&quot; perceptrons is learned. Do I understand correctly that what is being learned here are edge weights? How do node features and the adjacency matrix factor into this, and what does the model &quot;do&quot; with some input text? How are the next token probabilities calculated? I only understand this on a very superficial level, sufficient so as to produce this seemingly somewhat functional script. I can see that, when I plot the graph associated with the <code>GCNConv</code> layer using <code>networkx</code> after fitting, words that are similar (e.g. &quot;boat&quot;, &quot;ocean&quot;, &quot;water&quot;) tend to cluster.</li>
<li><strong>How can I improve the model?</strong>* I've spent a fair amount of time reading GNN research papers, however they're written largely in what appears to be very subfield-specific jargon that is unfamiliar to me as someone very familiar with graph theory and somewhat familiar with machine learning. I'd like to begin by taking smaller steps, hopefully starting with some suggestions provided by the community here. I have no strict, &quot;objective&quot; criteria in mind, outside of producing more realistic, human-like text.</li>
</ol>
<p>Here's some example input and output:</p>
<ol>
<li><strong>Input:</strong> &quot;the traffic&quot; -&gt; <strong>Output:</strong> &quot;the traffic was invaluable sense day playing urban evening together made past weekends board plot off color cookies calm concert flowers express eye-opening learn garden outside satisfying laughter movie waves how's sunrise of try traffic scratch day captivating hobby live blanket delicious&quot;</li>
<li><strong>Input:</strong> &quot;i enjoy&quot; -&gt; <strong>Output:</strong> &quot;i enjoy watching magical journaling awe-inspiring buds tail feeling entertainment resist homemade ones flavors soothing well-being laughter life culture cleanup picnics beauty accomplishment nature mood ocean up satisfying magical contagious joy admiring feeling live marathons beauty views things expression hikes next happiness vacations&quot;</li>
</ol>
<p><span class=""math-container"">$*$</span> Outside of the obvious, e.g. more training data, adjusting hyperparameters, etc.</p>
","language-model"
"41643","Optimal Quantity of Training Data for Fine-Tuning an LLM: Is Bigger Always Better?","2023-08-04 07:43:00","","0","348","<natural-language-processing><gpt><large-language-models><language-model><fine-tuning>","<p>I am currently working on fine-tuning an LLM for a specific task, and I am trying to determine the optimal size for my training dataset. Intuitively, one might think that the more data, the better. However, I am aware that in some contexts, this may lead to overfitting or other issues.</p>
<p>What is the general consensus on the optimal quantity of training data required for fine-tuning a Large Language Model? Is bigger always better?</p>
","language-model"
"41508","Confusion About Triangle Mask in Transformer Decoder","2023-07-27 20:04:05","","0","219","<transformer><language-model>","<p>I have some confusion about the implementation of the triangle mask in the transformer decoder. I understand the reasoning for the mask, it prevents the network from 'cheating' by looking ahead at the next token, but the way it's implemented seems strange. First of all, why do we apply the mask to the product <span class=""math-container"">$QK^T$</span>? Why not just set the rows representing unseen tokens to zero or some special token before sending the matrix to the transformer? Also, I don't understand the reasoning of a triangle mask in general. Suppose we are training with a sequence of length <span class=""math-container"">$\ell_s$</span>, and we are trying to predict token <span class=""math-container"">$k$</span> with <span class=""math-container"">$k &lt; \ell_s$</span>. Why don't we have to mask all entries <span class=""math-container"">$QK^T_{i,j}$</span> if <span class=""math-container"">$i &gt; k$</span> or <span class=""math-container"">$j &gt; k$</span>? With a standard triangle mask it seems like we still incorporate information computed from 'unseen' tokens.</p>
","language-model"
"41462","Is there a limitation to the amount of data that a genAI model could be trained upon?","2023-07-24 18:00:20","","1","217","<generative-model><language-model>","<p>My friend says that genAI would become more human like, and perhaps even smarter than humans if it were simply trained on more and more data. I say that this would overtrain the models, and we would perhaps lose the generative aspect.</p>
<p>I looked up on the internet, and it seems overtraining is actually a problem... but could it be said that there is a limitation to the amount of data we could feed to a model which would kill it's generativeness off completely?</p>
","language-model"
"40749","How big the context can be using HuggingFace models?","2023-06-07 17:53:04","46011","0","727","<natural-language-processing><pytorch><bert><language-model><question-answering>","<p>I'm new on AI, Neural Networks, ChatBots and all this ecosystem. I'm trying to use a classical example of pre-trained models, more specifically <code>timpal0l/mdeberta-v3-base-squad2</code>.</p>
<p>As I could see in the examples, it is necessary to provide a small text (context) and a question, which the model will respond to by extracting information from the context and using training on the structure of the language. This is my working code so far:</p>
<pre><code>from transformers import AutoTokenizer, AutoModelForQuestionAnswering, AutoConfig, DefaultDataCollator
import torch

tokenizer = AutoTokenizer.from_pretrained(&quot;timpal0l/mdeberta-v3-base-squad2&quot;)
model = AutoModelForQuestionAnswering.from_pretrained(&quot;timpal0l/mdeberta-v3-base-squad2&quot;, return_dict=False )

# From portuguese: My cat is called Helena. She is fat and has spots all over her body.
little_text = &quot;minha gata se chama helena. Ela é gorda e tem manchas pelo corpo.&quot;

# From portuguese: who is helena?
question = &quot;quem é helena?&quot;

inputs = tokenizer.encode_plus(question, little_text, add_special_tokens=False, return_tensors=&quot;pt&quot;)

input_ids = inputs[&quot;input_ids&quot;].tolist()[0]

text_tokens = tokenizer.convert_ids_to_tokens(input_ids)
answer_start_scores, answer_end_scores = model(**inputs)

answer_start = torch.argmax(
    answer_start_scores
)  
answer_end = torch.argmax(answer_end_scores) + 1

answer = tokenizer.convert_tokens_to_string(tokenizer.convert_ids_to_tokens(input_ids[answer_start:answer_end]))

print(f&quot;Question: {question}&quot;)
print(f&quot;Answer: {answer}\n&quot;)

------------------------------------------------
Question: quem é helena?
Answer: minha gata # From portuguese: My cat 
</code></pre>
<p>Everything went well. The model is able to perfectly answer questions about the small text provided as context.</p>
<p>What I couldn't understand is: when I provide a much larger text to serve as context (from a file, for example) the time for the response increases considerably. So every time I go to ask a question about the given text I have to wait a long time to get the answer.</p>
<p>So my question is: Am I doing this correctly? My intention is to create a chatbot to help answer questions about a specific system (a kind of help bot), so I simply copied all the text from the online help and pasted it into a single file but I believe that this method only works for small texts because at every question I must <code>tokenizer.encode_plus(question, little_text ... </code></p>
<p>How big the context can be?</p>
","language-model"
